task_id	design_id	system	flex_delta	mutable	flexible	added	removed	wt_flex_count	total_positions	expected_sequences	pdb_relative	pdb_sha256	markstar_job	markstar_cpus	markstar_memory_gib	markstar_heap_gib	source_package	source_task_id
10	2p4a_flex_p4	2p4a	4	D476;D475	B226;B225;B228;A111;A69;A71;B224;A112;B229;A68			10	12	39	structures/2p4a.min.reduce.renum.pdb	b4a481b2b2b0c3b5c47f49a1e223828c4139dfb7e3ae25398a7852cb24ae9f92	12651523_10	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	10
11	2p4a_flex_p5	2p4a	5	D476;D475	B226;B225;B228;A111;A69;A71;B224;A112;B229;A68;B227			11	13	39	structures/2p4a.min.reduce.renum.pdb	b4a481b2b2b0c3b5c47f49a1e223828c4139dfb7e3ae25398a7852cb24ae9f92	12651523_11	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	11
12	2p4a_flex_p6	2p4a	6	D476;D475	B226;B225;B228;A111;A69;A71;B224;A112;B229;A68;B227;A70			12	14	39	structures/2p4a.min.reduce.renum.pdb	b4a481b2b2b0c3b5c47f49a1e223828c4139dfb7e3ae25398a7852cb24ae9f92	12651522_12	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	12
13	2q1e_flex_p2	2q1e	2	D418	D427;D365;D363;D420;D416;D425;C309;C316;C314;C315;D364			11	12	20	structures/2q1e.min.reduce.renum.pdb	1fdfbc254f9aa8027dba2b90f2bece120774861e25c8b972548fcd6703596f5b	12651523_13	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	13
14	2q1e_flex_p3	2q1e	3	D418	D427;D365;D363;D420;D416;D425;C309;C316;C314;C315;D364;D426			12	13	20	structures/2q1e.min.reduce.renum.pdb	1fdfbc254f9aa8027dba2b90f2bece120774861e25c8b972548fcd6703596f5b	12651523_14	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	14
15	2q1e_flex_p4	2q1e	4	D418	D427;D365;D363;D420;D416;D425;C309;C316;C314;C315;D364;D426;D362			13	14	20	structures/2q1e.min.reduce.renum.pdb	1fdfbc254f9aa8027dba2b90f2bece120774861e25c8b972548fcd6703596f5b	12651522_15	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	15
16	2q2a_flex_p0	2q2a	0	B385	B403;B400;B383;B362;B363;B391;B394;B390;A144;A156;A149;A153			12	13	20	structures/2q2a.min.reduce.renum.pdb	ea4be6a6fd940f23bbcdb91b1678192a876b6f908c650eb7ffb006171e98a428	12651523_16	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	16
17	2q2a_flex_p1	2q2a	1	B385	B403;B400;B383;B362;B363;B391;B394;B390;A144;A156;A149;A153;B404			13	14	20	structures/2q2a.min.reduce.renum.pdb	ea4be6a6fd940f23bbcdb91b1678192a876b6f908c650eb7ffb006171e98a428	12651523_17	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	17
18	2rfe_flex_p0	2rfe	0	B488	F1138;B500;B499;B504;B506;B475;B471;B452;B524;B505;B496;B491			12	13	20	structures/2rfe.min.reduce.renum.pdb	ce698f5fdbc5090c56247449564bc8e3518aafc92d330b3efa3253a811ac0d87	12651523_18	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	18
19	2rfe_flex_p1	2rfe	1	B488	F1138;B500;B499;B504;B506;B475;B471;B452;B524;B505;B496;B491;B501			13	14	20	structures/2rfe.min.reduce.renum.pdb	ce698f5fdbc5090c56247449564bc8e3518aafc92d330b3efa3253a811ac0d87	12651523_19	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	19
20	2rl0_flex_m1	2rl0	-1	A85	G95;G97;A75;A65;A63;A49;A48;A51;A50;A87;A77			11	12	20	structures/2rl0.min.reduce.renum.pdb	17c3fc75a1a7799e94a0516af23187018499c3923868a87d8c4825fdf22ebbfd	12651523_20	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	20
21	2rl0_flex_p0	2rl0	0	A85	G95;G97;A75;A65;A63;A49;A48;A51;A50;A87;A77;A76			12	13	20	structures/2rl0.min.reduce.renum.pdb	17c3fc75a1a7799e94a0516af23187018499c3923868a87d8c4825fdf22ebbfd	12651523_21	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	21
22	2xxm_flex_p0	2xxm	0	B107	B115;B117;B109;B173;B105;B167;B165;A30;A4;A6;A5			11	12	20	structures/2xxm.min.reduce.renum.pdb	f1a1c3f31a8f7648a41f66fec1da8b0de570f48b1a63f36eb36735381bb8aaa1	12651523_22	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	22
23	2xxm_flex_p1	2xxm	1	B107	B115;B117;B109;B173;B105;B167;B165;A30;A4;A6;A5;B106			12	13	20	structures/2xxm.min.reduce.renum.pdb	f1a1c3f31a8f7648a41f66fec1da8b0de570f48b1a63f36eb36735381bb8aaa1	12651523_23	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	23
24	2xxm_flex_p2	2xxm	2	B107	B115;B117;B109;B173;B105;B167;B165;A30;A4;A6;A5;B106;B168			13	14	20	structures/2xxm.min.reduce.renum.pdb	f1a1c3f31a8f7648a41f66fec1da8b0de570f48b1a63f36eb36735381bb8aaa1	12651522_24	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	24
25	3cal_flex_p3	3cal	3	C147	D212;C126;C128;C113;C137;C111;C139;C120;C149;C125;C148;C127			12	13	20	structures/3cal.min.reduce.renum.pdb	ae9d613aad4f87b80cd00c5aa3dfcf518dbd91c3aa007f6f28ae191f264f37f1	12651523_25	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	25
26	3cal_flex_p4	3cal	4	C147	D212;C126;C128;C113;C137;C111;C139;C120;C149;C125;C148;C127;C146			13	14	20	structures/3cal.min.reduce.renum.pdb	ae9d613aad4f87b80cd00c5aa3dfcf518dbd91c3aa007f6f28ae191f264f37f1	12651523_26	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	26
27	3cal_flex_p5	3cal	5	C147	D212;C126;C128;C113;C137;C111;C139;C120;C149;C125;C148;C127;C146;C112			14	15	20	structures/3cal.min.reduce.renum.pdb	ae9d613aad4f87b80cd00c5aa3dfcf518dbd91c3aa007f6f28ae191f264f37f1	12651522_27	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	27
28	3eb6_flex_p3	3eb6	3	A44;A45	B128;A55;A29;A19;A42;A41;A37;A30;A38;A28			10	12	39	structures/3eb6.min.reduce.renum.pdb	cd633dddedd01529c022eed488818b918e3dc5c5e88d740014aa24dada36a76f	12651523_28	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	28
29	3eb6_flex_p4	3eb6	4	A44;A45	B128;A55;A29;A19;A42;A41;A37;A30;A38;A28;A54			11	13	39	structures/3eb6.min.reduce.renum.pdb	cd633dddedd01529c022eed488818b918e3dc5c5e88d740014aa24dada36a76f	12651523_29	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	29
30	3eb6_flex_p5	3eb6	5	A44;A45	B128;A55;A29;A19;A42;A41;A37;A30;A38;A28;A54;A40			12	14	39	structures/3eb6.min.reduce.renum.pdb	cd633dddedd01529c022eed488818b918e3dc5c5e88d740014aa24dada36a76f	12651522_30	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	30
31	4hem_flex_p1	4hem	1	C372	B226;C326;C303;C318;C360;C377;C322;C332;C328;C330;C353;C331			12	13	20	structures/4hem.min.reduce.renum.pdb	b5d1eaff99cd81f870187217f91cc64703de161fd6a950826be8724e8980fc3b	12651523_31	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	31
32	4hem_flex_p2	4hem	2	C372	B226;C326;C303;C318;C360;C377;C322;C332;C328;C330;C353;C331;C321			13	14	20	structures/4hem.min.reduce.renum.pdb	b5d1eaff99cd81f870187217f91cc64703de161fd6a950826be8724e8980fc3b	12651523_32	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	32
33	4hem_flex_p3	4hem	3	C372	B226;C326;C303;C318;C360;C377;C322;C332;C328;C330;C353;C331;C321;C359			14	15	20	structures/4hem.min.reduce.renum.pdb	b5d1eaff99cd81f870187217f91cc64703de161fd6a950826be8724e8980fc3b	12651522_33	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	33
34	4kt6_flex_p0	4kt6	0	D712	D822;D815;D759;C512;C511;C509;C519;C515;C518			9	10	20	structures/4kt6.min.reduce.renum.pdb	f13f9c8fcd6fd0a9ca26426d87b44cc763c33b819c36aa260d8521ca9e93e0e9	12651523_34	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	34
35	4kt6_flex_p1	4kt6	1	D712	D822;D815;D759;C512;C511;C509;C519;C515;C518;D816			10	11	20	structures/4kt6.min.reduce.renum.pdb	f13f9c8fcd6fd0a9ca26426d87b44cc763c33b819c36aa260d8521ca9e93e0e9	12651523_35	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	35
36	4kt6_flex_p2	4kt6	2	D712	D822;D815;D759;C512;C511;C509;C519;C515;C518;D816;C516			11	12	20	structures/4kt6.min.reduce.renum.pdb	f13f9c8fcd6fd0a9ca26426d87b44cc763c33b819c36aa260d8521ca9e93e0e9	12651522_36	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	36
37	4pxf_flex_p4	4pxf	4	A249	B328;B330;A246;A245;A226;A225;A138;A229;A244;A247;A227;A139			12	13	20	structures/4pxf.min.reduce.renum.pdb	0297976728b341c0a76ad496fcdaa1fe586b199ac18524f892b6ef47fea35d2c	12651523_37	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	37
38	4pxf_flex_p5	4pxf	5	A249	B328;B330;A246;A245;A226;A225;A138;A229;A244;A247;A227;A139;A250			13	14	20	structures/4pxf.min.reduce.renum.pdb	0297976728b341c0a76ad496fcdaa1fe586b199ac18524f892b6ef47fea35d2c	12651523_38	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	38
39	4pxf_flex_p6	4pxf	6	A249	B328;B330;A246;A245;A226;A225;A138;A229;A244;A247;A227;A139;A250;A228			14	15	20	structures/4pxf.min.reduce.renum.pdb	0297976728b341c0a76ad496fcdaa1fe586b199ac18524f892b6ef47fea35d2c	12651522_39	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	39
40	4z80_flex_m2	4z80	-2	D967;D970	D972;B621;B620;B646;B758;B756;B649;B760;B563;B663			10	12	39	structures/4z80.min.reduce.renum.pdb	3b9938f38c7a5d45ca5985d0069f19de191894389f918af3d1e30406d989724d	12651523_40	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	40
41	4z80_flex_m1	4z80	-1	D967;D970	D972;D971;B621;B620;B646;B758;B756;B649;B760;B563;B663			11	13	39	structures/4z80.min.reduce.renum.pdb	3b9938f38c7a5d45ca5985d0069f19de191894389f918af3d1e30406d989724d	12651523_41	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	41
42	5d68_flex_p0	5d68	0	A313	C903;C937;C905;C910;C935;C914;A310;A309;A265;A261;A262			11	12	20	structures/5d68.min.reduce.renum.pdb	7f14a6d67cb5b879a5fe4e1a37f793ae2e82adc251545f36deaa59bd78abb1b2	12651523_42	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	42
43	5d68_flex_p1	5d68	1	A313	C903;C937;C905;C910;C935;C914;A310;A309;A265;A261;A262;C934			12	13	20	structures/5d68.min.reduce.renum.pdb	7f14a6d67cb5b879a5fe4e1a37f793ae2e82adc251545f36deaa59bd78abb1b2	12651523_43	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	43
44	5d68_flex_p2	5d68	2	A313	C903;C937;C905;C910;C935;C914;A310;A309;A265;A261;A262;C934;C906			13	14	20	structures/5d68.min.reduce.renum.pdb	7f14a6d67cb5b879a5fe4e1a37f793ae2e82adc251545f36deaa59bd78abb1b2	12651522_44	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	44
45	5em2_flex_p2	5em2	2	B614;B612	B606;B609;B607;B537;A105;A103;B538;B536			8	10	39	structures/5em2.min.reduce.renum.pdb	0166b3c392b703c1fec55dd1d3907bd4a7c396ab8ec4260ebb8f304353b51ad9	12651523_45	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	45
46	5em2_flex_p3	5em2	3	B614;B612	B606;B609;B607;B537;A105;A103;B538;B536;A104			9	11	39	structures/5em2.min.reduce.renum.pdb	0166b3c392b703c1fec55dd1d3907bd4a7c396ab8ec4260ebb8f304353b51ad9	12651523_46	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	46
47	5em2_flex_p4	5em2	4	B614;B612	B606;B609;B607;B537;A105;A103;B538;B536;A104;A106			10	12	39	structures/5em2.min.reduce.renum.pdb	0166b3c392b703c1fec55dd1d3907bd4a7c396ab8ec4260ebb8f304353b51ad9	12651522_47	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	47
48	4znc_flex_p6	4znc	6	E534	F716;F733;F731;F718;E499;E528;E497;E533;E500;F732;E535;E496;F717			13	14	20	structures/4znc.min.reduce.renum.pdb	19d4423b65055cbb79be8cde77db8b6bf0da4e5d2ced3c0c1c809dfb710525db	12651516_48	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	48
49	3gxu_flex_p10	3gxu	10	A30	B249;B250;B251;B252;A29;A31;B248;B204;A40;B206;B205;B203;A39			13	14	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12651516_49	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	49
50	4wem_flex_p10	4wem	10	B347	B357;B278;A42;A4;B356;A3;A43;A5;A41;B279;B277;A196;B276;B346			14	15	21	structures/4wem.min.reduce.renum.pdb	92f57e7f95c986bc8a452f99310c7b95971a58ccbddbc0a9b9b5d5c8522f9216	12651516_50	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	50
51	2rfd_flex_p5	2rfd	5	B547;B544	B543;B541;B540;B531;B530;A238;B545;B553;A239;A237;B539			11	13	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12651516_51	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	51
