task_id	design_id	system	flex_delta	mutable	flexible	added	removed	wt_flex_count	total_positions	expected_sequences	pdb_relative	pdb_sha256	markstar_job	markstar_cpus	markstar_memory_gib	markstar_heap_gib	source_package	source_task_id
10	3u7y_flex_p5	3u7y	5	G384;G382	G385;L587;L649;L648;G386;L586;L650;G383	L648;G386;L586;L650;G383		8	10	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_10	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	10
11	3u7y_flex_p6	3u7y	6	G384;G382	G385;L587;L649;L648;G386;L586;L650;G383;G381	L648;G386;L586;L650;G383;G381		9	11	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_11	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	11
12	3gxu_flex_p0	3gxu	0	A30	B249;B250;B251			3	4	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_12	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	12
13	3gxu_flex_p1	3gxu	1	A30	B249;B250;B251;B252	B252		4	5	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_13	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	13
14	3gxu_flex_p2	3gxu	2	A30	B249;B250;B251;B252;A29	B252;A29		5	6	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_14	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	14
15	3gxu_flex_p3	3gxu	3	A30	B249;B250;B251;B252;A29;A31	B252;A29;A31		6	7	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_15	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	15
16	3gxu_flex_p4	3gxu	4	A30	B249;B250;B251;B252;A29;A31;B248	B252;A29;A31;B248		7	8	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_16	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	16
17	3gxu_flex_p5	3gxu	5	A30	B249;B250;B251;B252;A29;A31;B248;B204	B252;A29;A31;B248;B204		8	9	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_17	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	17
18	3gxu_flex_p6	3gxu	6	A30	B249;B250;B251;B252;A29;A31;B248;B204;A40	B252;A29;A31;B248;B204;A40		9	10	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_18	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	18
19	3gxu_flex_p7	3gxu	7	A30	B249;B250;B251;B252;A29;A31;B248;B204;A40;B206	B252;A29;A31;B248;B204;A40;B206		10	11	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_19	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	19
20	3gxu_flex_p8	3gxu	8	A30	B249;B250;B251;B252;A29;A31;B248;B204;A40;B206;B205	B252;A29;A31;B248;B204;A40;B206;B205		11	12	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_20	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	20
21	3gxu_flex_p9	3gxu	9	A30	B249;B250;B251;B252;A29;A31;B248;B204;A40;B206;B205;B203	B252;A29;A31;B248;B204;A40;B206;B205;B203		12	13	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_21	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	21
22	3bua_flex_m2	3bua	-2	C447;C450	D638;D641;D642;D645;D623;D619;D616;D620;C417;C414;C410;C421;C452;C443		C446;C444	14	16	39	structures/3bua.min.reduce.renum.pdb	30541f309b5832f60b4735a62deb947c15b24f0e01f1e6de609d4b71abcba6b4	12633775_22	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	22
23	3bua_flex_m1	3bua	-1	C447;C450	D638;D641;D642;D645;D623;D619;D616;D620;C417;C414;C410;C421;C452;C443;C444		C446	15	17	39	structures/3bua.min.reduce.renum.pdb	30541f309b5832f60b4735a62deb947c15b24f0e01f1e6de609d4b71abcba6b4	12633775_23	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	23
24	3bua_flex_p0	3bua	0	C447;C450	D638;D641;D642;D645;D623;D619;D616;D620;C417;C414;C410;C421;C452;C443;C444;C446			16	18	39	structures/3bua.min.reduce.renum.pdb	30541f309b5832f60b4735a62deb947c15b24f0e01f1e6de609d4b71abcba6b4	12633775_24	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	24
