task_id	design_id	system	flex_delta	mutable	flexible	added	removed	wt_flex_count	total_positions	expected_sequences	pdb_relative	pdb_sha256	historical_mark_days	historical_pack_minutes	rough_mark_days_2x	rough_mark_days_3x	old_scan_branchwidth
14	3k3q_flex_p1	3k3q	1	C444;C440	B254;B316;B253;B263;B358;B284;C416;C456;C454;C446;C436;C420;C413;C437;C439;C453	C453		16	18	39	structures/3k3q.min.reduce.renum.pdb	c304d4f14e5f9ea391f67d824dac985117354bcf840418913063edf0c0473bf4	2.2054293981481483	97.54833333333333	4.410858796296297	6.616288194444445	9
15	3k3q_flex_p2	3k3q	2	C444;C440	B254;B316;B253;B263;B358;B284;C416;C456;C454;C446;C436;C420;C413;C437;C439;C453;C455	C453;C455		17	19	39	structures/3k3q.min.reduce.renum.pdb	c304d4f14e5f9ea391f67d824dac985117354bcf840418913063edf0c0473bf4	2.2054293981481483	97.54833333333333	8.821717592592593	19.848864583333334	9
16	4z80_flex_p0	4z80	0	D967;D970	D972;D971;D969;B621;B620;B646;B758;B756;B649;B760;B563;B663			12	14	39	structures/4z80.min.reduce.renum.pdb	3b9938f38c7a5d45ca5985d0069f19de191894389f918af3d1e30406d989724d	2.4606909722222223	119.03833333333334	2.4606909722222223	2.4606909722222223	7
17	4z80_flex_p1	4z80	1	D967;D970	D972;D971;D969;B621;B620;B646;B758;B756;B649;B760;B563;B663;B759	B759		13	15	39	structures/4z80.min.reduce.renum.pdb	3b9938f38c7a5d45ca5985d0069f19de191894389f918af3d1e30406d989724d	2.4606909722222223	119.03833333333334	4.921381944444445	7.382072916666667	8
18	4z80_flex_p2	4z80	2	D967;D970	D972;D971;D969;B621;B620;B646;B758;B756;B649;B760;B563;B663;B759;B648	B759;B648		14	16	39	structures/4z80.min.reduce.renum.pdb	3b9938f38c7a5d45ca5985d0069f19de191894389f918af3d1e30406d989724d	2.4606909722222223	119.03833333333334	9.84276388888889	22.146218750000003	8
19	2rl0_flex_p0	2rl0	0	A85	G95;G97;A75;A65;A63;A49;A48;A51;A50;A87;A77;A76			12	13	20	structures/2rl0.min.reduce.renum.pdb	17c3fc75a1a7799e94a0516af23187018499c3923868a87d8c4825fdf22ebbfd	0.41047106481481477	39.693333333333335	0.41047106481481477	0.41047106481481477	6
20	2rl0_flex_p1	2rl0	1	A85	G95;G97;A75;A65;A63;A49;A48;A51;A50;A87;A77;A76;G96	G96		13	14	20	structures/2rl0.min.reduce.renum.pdb	17c3fc75a1a7799e94a0516af23187018499c3923868a87d8c4825fdf22ebbfd	0.41047106481481477	39.693333333333335	0.8209421296296295	1.2314131944444444	6
21	2rl0_flex_p2	2rl0	2	A85	G95;G97;A75;A65;A63;A49;A48;A51;A50;A87;A77;A76;G96;G94	G96;G94		14	15	20	structures/2rl0.min.reduce.renum.pdb	17c3fc75a1a7799e94a0516af23187018499c3923868a87d8c4825fdf22ebbfd	0.41047106481481477	39.693333333333335	1.641884259259259	3.694239583333333	6
22	2rl0_flex_p3	2rl0	3	A85	G95;G97;A75;A65;A63;A49;A48;A51;A50;A87;A77;A76;G96;G94;G98	G96;G94;G98		15	16	20	structures/2rl0.min.reduce.renum.pdb	17c3fc75a1a7799e94a0516af23187018499c3923868a87d8c4825fdf22ebbfd	0.41047106481481477	39.693333333333335	3.283768518518518	11.082718749999998	7
23	2q2a_flex_p0	2q2a	0	B385	B403;B400;B383;B362;B363;B391;B394;B390;A144;A156;A149;A153			12	13	20	structures/2q2a.min.reduce.renum.pdb	ea4be6a6fd940f23bbcdb91b1678192a876b6f908c650eb7ffb006171e98a428	0.18831944444444443	21.654999999999998	0.18831944444444443	0.18831944444444443	6
24	2q2a_flex_p1	2q2a	1	B385	B403;B400;B383;B362;B363;B391;B394;B390;A144;A156;A149;A153;B404	B404		13	14	20	structures/2q2a.min.reduce.renum.pdb	ea4be6a6fd940f23bbcdb91b1678192a876b6f908c650eb7ffb006171e98a428	0.18831944444444443	21.654999999999998	0.37663888888888886	0.5649583333333332	5
25	2q2a_flex_p2	2q2a	2	B385	B403;B400;B383;B362;B363;B391;B394;B390;A144;A156;A149;A153;B404;B402	B404;B402		14	15	20	structures/2q2a.min.reduce.renum.pdb	ea4be6a6fd940f23bbcdb91b1678192a876b6f908c650eb7ffb006171e98a428	0.18831944444444443	21.654999999999998	0.7532777777777777	1.694875	7
26	2q2a_flex_p3	2q2a	3	B385	B403;B400;B383;B362;B363;B391;B394;B390;A144;A156;A149;A153;B404;B402;B384	B404;B402;B384		15	16	20	structures/2q2a.min.reduce.renum.pdb	ea4be6a6fd940f23bbcdb91b1678192a876b6f908c650eb7ffb006171e98a428	0.18831944444444443	21.654999999999998	1.5065555555555554	5.084625	6
27	2q2a_flex_p4	2q2a	4	B385	B403;B400;B383;B362;B363;B391;B394;B390;A144;A156;A149;A153;B404;B402;B384;A143	B404;B402;B384;A143		16	17	20	structures/2q2a.min.reduce.renum.pdb	ea4be6a6fd940f23bbcdb91b1678192a876b6f908c650eb7ffb006171e98a428	0.18831944444444443	21.654999999999998	3.013111111111111	15.253874999999999	7
28	4wyq_flex_p0	4wyq	0	E394	D288;D289;D285;E367;E371;E373;E365;E391;E390			9	10	20	structures/4wyq.min.reduce.renum.pdb	adc46edd5b0e67e235edd709ef040a657aa4b1141cf7f4573ca6c79caadbfbc0	0.32774305555555555	42.095	0.32774305555555555	0.32774305555555555	6
29	4wyq_flex_p1	4wyq	1	E394	D288;D289;D285;E367;E371;E373;E365;E391;E390;E372	E372		10	11	20	structures/4wyq.min.reduce.renum.pdb	adc46edd5b0e67e235edd709ef040a657aa4b1141cf7f4573ca6c79caadbfbc0	0.32774305555555555	42.095	0.6554861111111111	0.9832291666666666	7
30	4wyq_flex_p2	4wyq	2	E394	D288;D289;D285;E367;E371;E373;E365;E391;E390;E372;E370	E372;E370		11	12	20	structures/4wyq.min.reduce.renum.pdb	adc46edd5b0e67e235edd709ef040a657aa4b1141cf7f4573ca6c79caadbfbc0	0.32774305555555555	42.095	1.3109722222222222	2.9496875	7
31	4wyq_flex_p3	4wyq	3	E394	D288;D289;D285;E367;E371;E373;E365;E391;E390;E372;E370;D284	E372;E370;D284		12	13	20	structures/4wyq.min.reduce.renum.pdb	adc46edd5b0e67e235edd709ef040a657aa4b1141cf7f4573ca6c79caadbfbc0	0.32774305555555555	42.095	2.6219444444444444	8.8490625	8
