task_id	design_id	system	flex_delta	mutable	flexible	added	removed	wt_flex_count	total_positions	expected_sequences	pdb_relative	pdb_sha256	markstar_job	markstar_cpus	markstar_memory_gib	markstar_heap_gib	source_package	source_task_id	h200_source_manifest	h200_source_index
28	5dc4_flex_p3	5dc4	3	A95;A28	B176;B172;B173;B174;A25;A26;A97;A21;A46;A24;A29;A47	A24;A29;A47		12	14	39	structures/5dc4.min.reduce.renum.pdb	f1dc1758bd76057ce195cabfc51efcafce37d661b9fc5cc8c24a8375649c07d1	12632191_10	16	192	160	added	10	frontier.tsv	30
29	5dc4_flex_p4	5dc4	4	A95;A28	B176;B172;B173;B174;A25;A26;A97;A21;A46;A24;A29;A47;B171	A24;A29;A47;B171		13	15	39	structures/5dc4.min.reduce.renum.pdb	f1dc1758bd76057ce195cabfc51efcafce37d661b9fc5cc8c24a8375649c07d1	12632191_11	16	192	160	added	11	frontier.tsv	31
30	4znc_flex_p0	4znc	0	E534	F716;F733;F731;F718;E499;E528;E497			7	8	20	structures/4znc.min.reduce.renum.pdb	19d4423b65055cbb79be8cde77db8b6bf0da4e5d2ced3c0c1c809dfb710525db	12632191_12	16	192	160	added	12	frontier.tsv	32
31	4znc_flex_p1	4znc	1	E534	F716;F733;F731;F718;E499;E528;E497;E533	E533		8	9	20	structures/4znc.min.reduce.renum.pdb	19d4423b65055cbb79be8cde77db8b6bf0da4e5d2ced3c0c1c809dfb710525db	12632191_13	16	192	160	added	13	frontier.tsv	33
32	4znc_flex_p2	4znc	2	E534	F716;F733;F731;F718;E499;E528;E497;E533;E500	E533;E500		9	10	20	structures/4znc.min.reduce.renum.pdb	19d4423b65055cbb79be8cde77db8b6bf0da4e5d2ced3c0c1c809dfb710525db	12632191_14	16	192	160	added	14	frontier.tsv	34
33	4znc_flex_p3	4znc	3	E534	F716;F733;F731;F718;E499;E528;E497;E533;E500;F732	E533;E500;F732		10	11	20	structures/4znc.min.reduce.renum.pdb	19d4423b65055cbb79be8cde77db8b6bf0da4e5d2ced3c0c1c809dfb710525db	12632191_15	16	192	160	added	15	frontier.tsv	35
34	4znc_flex_p4	4znc	4	E534	F716;F733;F731;F718;E499;E528;E497;E533;E500;F732;E535	E533;E500;F732;E535		11	12	20	structures/4znc.min.reduce.renum.pdb	19d4423b65055cbb79be8cde77db8b6bf0da4e5d2ced3c0c1c809dfb710525db	12632191_16	16	192	160	added	16	frontier.tsv	36
35	4znc_flex_p5	4znc	5	E534	F716;F733;F731;F718;E499;E528;E497;E533;E500;F732;E535;E496	E533;E500;F732;E535;E496		12	13	20	structures/4znc.min.reduce.renum.pdb	19d4423b65055cbb79be8cde77db8b6bf0da4e5d2ced3c0c1c809dfb710525db	12632191_17	16	192	160	added	17	frontier.tsv	37
36	5dc0_flex_p0	5dc0	0	B116;B138	B181;B137;A51;A52			4	6	39	structures/5dc0.min.reduce.renum.pdb	9c5456f069c4bef6af20afcb920c8044e420e17fe493a785ffb1be09cd0233db	12632191_18	16	192	160	added	18	frontier.tsv	38
37	5dc0_flex_p1	5dc0	1	B116;B138	B181;B137;A51;A52;B136	B136		5	7	39	structures/5dc0.min.reduce.renum.pdb	9c5456f069c4bef6af20afcb920c8044e420e17fe493a785ffb1be09cd0233db	12632191_19	16	192	160	added	19	frontier.tsv	39
38	5dc0_flex_p2	5dc0	2	B116;B138	B181;B137;A51;A52;B136;A53	B136;A53		6	8	39	structures/5dc0.min.reduce.renum.pdb	9c5456f069c4bef6af20afcb920c8044e420e17fe493a785ffb1be09cd0233db	12632191_20	16	192	160	added	20	frontier.tsv	40
39	5dc0_flex_p3	5dc0	3	B116;B138	B181;B137;A51;A52;B136;A53;B117	B136;A53;B117		7	9	39	structures/5dc0.min.reduce.renum.pdb	9c5456f069c4bef6af20afcb920c8044e420e17fe493a785ffb1be09cd0233db	12632191_21	16	192	160	added	21	frontier.tsv	41
40	5dc0_flex_p4	5dc0	4	B116;B138	B181;B137;A51;A52;B136;A53;B117;B115	B136;A53;B117;B115		8	10	39	structures/5dc0.min.reduce.renum.pdb	9c5456f069c4bef6af20afcb920c8044e420e17fe493a785ffb1be09cd0233db	12632191_22	16	192	160	added	22	frontier.tsv	42
41	5dc0_flex_p5	5dc0	5	B116;B138	B181;B137;A51;A52;B136;A53;B117;B115;B139	B136;A53;B117;B115;B139		9	11	39	structures/5dc0.min.reduce.renum.pdb	9c5456f069c4bef6af20afcb920c8044e420e17fe493a785ffb1be09cd0233db	12632191_23	16	192	160	added	23	frontier.tsv	43
42	5dc0_flex_p6	5dc0	6	B116;B138	B181;B137;A51;A52;B136;A53;B117;B115;B139;B182	B136;A53;B117;B115;B139;B182		10	12	39	structures/5dc0.min.reduce.renum.pdb	9c5456f069c4bef6af20afcb920c8044e420e17fe493a785ffb1be09cd0233db	12632283_24	16	128	96	added	24	frontier.tsv	44
43	5dc0_flex_p7	5dc0	7	B116;B138	B181;B137;A51;A52;B136;A53;B117;B115;B139;B182;A50	B136;A53;B117;B115;B139;B182;A50		11	13	39	structures/5dc0.min.reduce.renum.pdb	9c5456f069c4bef6af20afcb920c8044e420e17fe493a785ffb1be09cd0233db	12632283_25	16	128	96	added	25	frontier.tsv	45
44	2rfd_flex_p0	2rfd	0	B547;B544	B543;B541;B540;B531;B530;A238			6	8	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12633776_0	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	0	frontier_add4.tsv	0
45	2rfd_flex_p1	2rfd	1	B547;B544	B543;B541;B540;B531;B530;A238;B545	B545		7	9	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12633776_1	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	1	frontier_add4.tsv	1
46	2rfd_flex_p2	2rfd	2	B547;B544	B543;B541;B540;B531;B530;A238;B545;B553	B545;B553		8	10	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12633776_2	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	2	frontier_add4.tsv	2
47	2rfd_flex_p3	2rfd	3	B547;B544	B543;B541;B540;B531;B530;A238;B545;B553;A239	B545;B553;A239		9	11	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12633776_3	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	3	frontier_add4.tsv	3
48	2rfd_flex_p4	2rfd	4	B547;B544	B543;B541;B540;B531;B530;A238;B545;B553;A239;A237	B545;B553;A239;A237		10	12	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12633776_4	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	4	frontier_add4.tsv	4
49	3u7y_flex_p0	3u7y	0	G384;G382	G385;L587;L649			3	5	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_5	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	5	frontier_add4.tsv	5
50	3u7y_flex_p1	3u7y	1	G384;G382	G385;L587;L649;L648	L648		4	6	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_6	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	6	frontier_add4.tsv	6
51	3u7y_flex_p2	3u7y	2	G384;G382	G385;L587;L649;L648;G386	L648;G386		5	7	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_7	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	7	frontier_add4.tsv	7
52	3u7y_flex_p3	3u7y	3	G384;G382	G385;L587;L649;L648;G386;L586	L648;G386;L586		6	8	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_8	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	8	frontier_add4.tsv	8
53	3u7y_flex_p4	3u7y	4	G384;G382	G385;L587;L649;L648;G386;L586;L650	L648;G386;L586;L650		7	9	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_9	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	9	frontier_add4.tsv	9
54	3u7y_flex_p5	3u7y	5	G384;G382	G385;L587;L649;L648;G386;L586;L650;G383	L648;G386;L586;L650;G383		8	10	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_10	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	10	frontier_add4.tsv	10
55	3u7y_flex_p6	3u7y	6	G384;G382	G385;L587;L649;L648;G386;L586;L650;G383;G381	L648;G386;L586;L650;G383;G381		9	11	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_11	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	11	frontier_add4.tsv	11
56	3gxu_flex_p0	3gxu	0	A30	B249;B250;B251			3	4	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_12	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	12	frontier_add4.tsv	12
57	3gxu_flex_p1	3gxu	1	A30	B249;B250;B251;B252	B252		4	5	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_13	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	13	frontier_add4.tsv	13
58	3gxu_flex_p2	3gxu	2	A30	B249;B250;B251;B252;A29	B252;A29		5	6	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_14	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	14	frontier_add4.tsv	14
59	3gxu_flex_p3	3gxu	3	A30	B249;B250;B251;B252;A29;A31	B252;A29;A31		6	7	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_15	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	15	frontier_add4.tsv	15
60	3gxu_flex_p4	3gxu	4	A30	B249;B250;B251;B252;A29;A31;B248	B252;A29;A31;B248		7	8	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_16	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	16	frontier_add4.tsv	16
61	3gxu_flex_p5	3gxu	5	A30	B249;B250;B251;B252;A29;A31;B248;B204	B252;A29;A31;B248;B204		8	9	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_17	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	17	frontier_add4.tsv	17
62	3gxu_flex_p6	3gxu	6	A30	B249;B250;B251;B252;A29;A31;B248;B204;A40	B252;A29;A31;B248;B204;A40		9	10	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_18	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	18	frontier_add4.tsv	18
63	3gxu_flex_p7	3gxu	7	A30	B249;B250;B251;B252;A29;A31;B248;B204;A40;B206	B252;A29;A31;B248;B204;A40;B206		10	11	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_19	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	19	frontier_add4.tsv	19
64	3gxu_flex_p8	3gxu	8	A30	B249;B250;B251;B252;A29;A31;B248;B204;A40;B206;B205	B252;A29;A31;B248;B204;A40;B206;B205		11	12	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_20	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	20	frontier_add4.tsv	20
65	3gxu_flex_p9	3gxu	9	A30	B249;B250;B251;B252;A29;A31;B248;B204;A40;B206;B205;B203	B252;A29;A31;B248;B204;A40;B206;B205;B203		12	13	20	structures/3gxu.min.reduce.renum.pdb	e3fdfb0e15b6d338d12b7c35e8504d74c54fc6bff6745b2987e740ba87998d64	12633776_21	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	21	frontier_add4.tsv	21
66	3bua_flex_m2	3bua	-2	C447;C450	D638;D641;D642;D645;D623;D619;D616;D620;C417;C414;C410;C421;C452;C443		C446;C444	14	16	39	structures/3bua.min.reduce.renum.pdb	30541f309b5832f60b4735a62deb947c15b24f0e01f1e6de609d4b71abcba6b4	12633775_22	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	22	frontier_add4.tsv	22
67	3bua_flex_m1	3bua	-1	C447;C450	D638;D641;D642;D645;D623;D619;D616;D620;C417;C414;C410;C421;C452;C443;C444		C446	15	17	39	structures/3bua.min.reduce.renum.pdb	30541f309b5832f60b4735a62deb947c15b24f0e01f1e6de609d4b71abcba6b4	12633775_23	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	23	frontier_add4.tsv	23
68	3bua_flex_p0	3bua	0	C447;C450	D638;D641;D642;D645;D623;D619;D616;D620;C417;C414;C410;C421;C452;C443;C444;C446			16	18	39	structures/3bua.min.reduce.renum.pdb	30541f309b5832f60b4735a62deb947c15b24f0e01f1e6de609d4b71abcba6b4	12633775_24	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	24	frontier_add4.tsv	24
69	3bu8_flex_p7	3bu8	7	B243	D431;A34;A35;D430;B242;A36;D432;B244;A33;B246	D430;B242;A36;D432;B244;A33;B246		10	11	20	structures/3bu8.min.reduce.renum.pdb	cc4dc324318180bca6671a1fe5ba968c3e461132e5981705e89816d183c11e2f	12643021_0	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	0	frontier_small4.tsv	0
70	3bu8_flex_p8	3bu8	8	B243	D431;A34;A35;D430;B242;A36;D432;B244;A33;B246;A37	D430;B242;A36;D432;B244;A33;B246;A37		11	12	20	structures/3bu8.min.reduce.renum.pdb	cc4dc324318180bca6671a1fe5ba968c3e461132e5981705e89816d183c11e2f	12643021_1	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	1	frontier_small4.tsv	1
71	3bu8_flex_p9	3bu8	9	B243	D431;A34;A35;D430;B242;A36;D432;B244;A33;B246;A37;A32	D430;B242;A36;D432;B244;A33;B246;A37;A32		12	13	20	structures/3bu8.min.reduce.renum.pdb	cc4dc324318180bca6671a1fe5ba968c3e461132e5981705e89816d183c11e2f	12643021_2	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	2	frontier_small4.tsv	2
72	3bu8_flex_p10	3bu8	10	B243	D431;A34;A35;D430;B242;A36;D432;B244;A33;B246;A37;A32;B240	D430;B242;A36;D432;B244;A33;B246;A37;A32;B240		13	14	20	structures/3bu8.min.reduce.renum.pdb	cc4dc324318180bca6671a1fe5ba968c3e461132e5981705e89816d183c11e2f	12643021_3	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	3	frontier_small4.tsv	3
73	4wem_flex_p6	4wem	6	B347	B357;B278;A42;A4;B356;A3;A43;A5;A41;B279	B356;A3;A43;A5;A41;B279		10	11	21	structures/4wem.min.reduce.renum.pdb	92f57e7f95c986bc8a452f99310c7b95971a58ccbddbc0a9b9b5d5c8522f9216	12643021_4	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	4	frontier_small4.tsv	4
74	4wem_flex_p7	4wem	7	B347	B357;B278;A42;A4;B356;A3;A43;A5;A41;B279;B277	B356;A3;A43;A5;A41;B279;B277		11	12	21	structures/4wem.min.reduce.renum.pdb	92f57e7f95c986bc8a452f99310c7b95971a58ccbddbc0a9b9b5d5c8522f9216	12643021_5	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	5	frontier_small4.tsv	5
75	4wem_flex_p8	4wem	8	B347	B357;B278;A42;A4;B356;A3;A43;A5;A41;B279;B277;A196	B356;A3;A43;A5;A41;B279;B277;A196		12	13	21	structures/4wem.min.reduce.renum.pdb	92f57e7f95c986bc8a452f99310c7b95971a58ccbddbc0a9b9b5d5c8522f9216	12643021_6	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	6	frontier_small4.tsv	6
76	4wem_flex_p9	4wem	9	B347	B357;B278;A42;A4;B356;A3;A43;A5;A41;B279;B277;A196;B276	B356;A3;A43;A5;A41;B279;B277;A196;B276		13	14	21	structures/4wem.min.reduce.renum.pdb	92f57e7f95c986bc8a452f99310c7b95971a58ccbddbc0a9b9b5d5c8522f9216	12643021_7	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	7	frontier_small4.tsv	7
77	2rf9_flex_p7	2rf9	7	D586;D585	D582;D578;B499;B503;B504;B498;D581;D583;D587;D579;D584	B504;B498;D581;D583;D587;D579;D584		11	13	39	structures/2rf9.min.reduce.renum.pdb	f8e6b62f782e0041d58209e68b25129a7f6bd4f15371a7c05c93c0031d7a092b	12643021_8	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	8	frontier_small4.tsv	8
